"Year","Route","Visit","Count"
2002,7,1,104
2002,7,2,41
2002,8,1,0
2002,8,2,0
2002,9,1,NA
2002,9,2,NA
2002,10,1,3
2002,10,2,15
2002,11,2,6
2002,12,1,73
2002,12,2,68
2002,13,1,13
2002,13,2,26
2003,1,1,16
2003,1,2,19
2003,2,1,53
2003,2,2,44
2003,3,1,72
2003,4,1,38
2003,4,2,36
2003,5,1,0
2003,5,2,0
2003,6,1,13
2003,6,2,13
2003,7,1,72
2003,7,2,26
2003,8,1,0
2003,8,2,0
2003,9,1,32
2003,10,1,16
2003,10,2,19
2003,11,1,4
2003,11,2,4
2003,12,1,50
2003,12,2,51
2003,13,1,27
2004,1,1,21
2004,1,2,23
2004,2,1,93
2004,2,2,52
2004,3,1,74
2004,3,2,74
2004,4,1,49
2004,4,2,50
2004,5,1,0
2004,5,2,4
2004,6,1,11
2004,6,2,0
2004,7,1,82
2004,7,2,26
2004,8,1,0
2004,8,2,0
2004,9,1,22
2004,9,2,27
2004,10,1,28
2004,10,2,32
2004,11,1,6
2004,11,2,8
2004,12,1,82
2004,12,2,70
2004,13,1,43
2004,13,2,49
2004,14,1,80
2004,14,2,NA
2005,1,1,17
2005,1,2,20
2005,2,1,114
2005,2,2,42
2005,3,1,87
2005,3,2,114
2005,4,1,42
2005,4,2,48
2005,5,1,7
2005,5,2,3
2005,6,1,4
2005,7,1,75
2005,7,2,29
2005,8,1,0
2005,8,2,0
2005,9,1,27
2005,9,2,50
2005,10,1,30
2005,10,2,29
2005,11,1,6
2005,11,2,9
2005,12,1,83
2005,12,2,83
2005,13,1,34
2005,14,1,113
2005,14,2,NA
2006,1,1,23
2006,1,2,22
2006,2,1,108
2006,2,2,101
2006,3,1,174
2006,3,2,179
2006,4,1,59
2006,4,2,54
2006,6,1,0
2006,6,2,0
2006,7,1,92
2006,8,1,0
2006,8,2,0
2006,9,2,39
2006,10,1,34
2006,10,2,33
2006,11,1,8
2006,11,2,11
2006,12,1,90
2006,13,1,15
2006,13,2,25
2006,14,1,113
2006,15,1,1
2006,15,2,6
2006,16,1,46
2006,16,2,49
2007,1,1,11
2007,1,2,8
2007,2,1,50
2007,2,2,56
2007,3,1,74
2007,3,2,62
2007,4,1,25
2007,4,2,21
2007,6,1,0
2007,6,2,0
2007,7,1,23
2007,7,2,32
2007,8,1,0
2007,8,2,0
2007,9,1,37
2007,10,1,24
2007,10,2,25
2007,11,1,4
2007,11,2,7
2007,12,1,89
2007,12,2,80
2007,13,1,15
2007,14,1,49
2007,14,2,89
2007,15,1,1
2007,15,2,1
2007,16,1,45
2007,16,2,85
2008,1,1,26
2008,1,2,29
2008,2,1,72
2008,2,2,59
2008,3,1,43
2008,3,2,38
2008,4,1,30
2008,4,2,34
2008,6,1,0
2008,6,2,0
2008,7,1,31
2008,7,2,41
2008,8,1,0
2008,8,2,0
2008,9,1,17
2008,9,2,24
2008,10,1,32
2008,10,2,40
2008,11,1,0
2008,11,2,0
2008,12,1,67
2008,12,2,73
2008,13,1,15
2008,13,2,12
2008,14,1,98
2008,15,1,0
2008,15,2,0
2008,16,1,41
2008,16,2,57
2009,1,1,12
2009,1,2,14
2009,2,1,45
2009,2,2,42
2009,3,1,32
2009,3,2,33
2009,4,1,23
2009,4,2,22
2009,5,1,0
2009,5,2,0
2009,6,1,0
2009,7,1,30
2009,8,1,0
2009,8,2,0
2009,9,2,11
2009,10,1,46
2009,10,2,38
2009,11,1,0
2009,11,2,0
2009,12,1,62
2009,12,2,95
2009,13,1,18
2009,13,2,27
2009,14,2,149
2009,15,1,0
2009,15,2,0
2009,16,1,49
2009,16,2,70
2010,1,1,12
2010,1,2,16
2010,2,1,44
2010,2,2,41
2010,3,1,32
2010,3,2,29
2010,4,1,27
2010,4,2,29
2010,5,1,0
2010,5,2,0
2010,6,1,0
2010,6,2,0
2010,7,1,21
2010,7,2,45
2010,8,1,0
2010,8,2,0
2010,9,1,0
2010,10,1,58
2010,10,2,54
2010,11,1,0
2010,11,2,0
2010,12,1,33
2010,12,2,18
2010,13,1,18
2010,13,2,27
2010,14,1,62
2010,14,2,83
2010,15,1,0
2010,15,2,3
2010,16,1,37
2010,16,2,48
2011,1,1,22
2011,1,2,23
2011,2,1,43
2011,2,2,34
2011,3,1,15
2011,3,2,39
2011,4,1,22
2011,4,2,20
2011,5,1,0
2011,5,2,0
2011,6,1,0
2011,6,2,0
2011,7,1,24
2011,7,2,30
2011,8,1,0
2011,8,2,0
2011,9,1,0
2011,10,1,36
2011,10,2,31
2011,11,1,0
2011,11,2,0
2011,12,1,42
2011,12,2,52
2011,13,1,33
2011,13,2,22
2011,14,1,130
2011,14,2,83
2011,15,1,11
2011,15,2,12
2011,16,1,53
2011,16,2,74
2012,1,1,6
2012,1,2,5
2012,2,1,18
2012,2,2,19
2012,3,1,NA
2012,3,2,24
2012,4,1,8
2012,4,2,8
2012,6,1,0
2012,6,2,0
2012,7,1,13
2012,7,2,11
2012,8,1,5
2012,8,2,4
2012,9,1,0
2012,10,1,21
2012,10,2,14
2012,11,1,0
2012,11,2,0
2012,12,1,24
2012,12,2,29
2012,13,1,9
2012,13,2,22
2012,14,1,130
2012,15,1,0
2012,15,2,0
2012,16,1,34
2012,16,2,49
2012,17,1,0
2012,17,2,9
2013,1,1,0
2013,1,2,0
2013,2,1,19
2013,2,2,16
2013,3,1,7
2013,3,2,7
2013,4,1,3
2013,4,2,3
2013,6,1,0
2013,6,2,0
2013,7,1,9
2013,7,2,9
2013,8,1,0
2013,8,2,0
2013,9,1,0
2013,10,1,7
2013,10,2,6
2013,11,1,0
2013,12,1,28
2013,12,2,28
2013,13,1,29
2013,14,1,87
2013,15,1,0
2013,15,2,0
2013,16,1,36
2013,16,2,34
2013,17,1,21
2013,17,2,24
2014,2,1,11
2014,2,2,14
2014,3,1,NA
2014,3,2,54
2014,7,1,5
2014,7,2,4
2014,10,1,8
2014,10,2,10
2014,12,1,23
2014,12,2,20
2014,13,1,7
2014,13,2,23
2014,14,1,63
2014,16,1,23
2014,16,2,30
